 frequency      v(net6)        v(net6)       
 1.0000000e+00  7.2633783e-01 -2.1694902e-05 
 1.2589254e+00  7.2633783e-01 -2.7312263e-05 
 1.5848932e+00  7.2633783e-01 -3.4384102e-05 
 1.9952623e+00  7.2633783e-01 -4.3287020e-05 
 2.5118864e+00  7.2633783e-01 -5.4495129e-05 
 3.1622777e+00  7.2633783e-01 -6.8605302e-05 
 3.9810717e+00  7.2633782e-01 -8.6368958e-05 
 5.0118723e+00  7.2633782e-01 -1.0873208e-04 
 6.3095734e+00  7.2633781e-01 -1.3688557e-04 
 7.9432823e+00  7.2633779e-01 -1.7232872e-04 
 1.0000000e+01  7.2633777e-01 -2.1694900e-04 
 1.2589254e+01  7.2633773e-01 -2.7312259e-04 
 1.5848932e+01  7.2633767e-01 -3.4384094e-04 
 1.9952623e+01  7.2633757e-01 -4.3287004e-04 
 2.5118864e+01  7.2633742e-01 -5.4495099e-04 
 3.1622777e+01  7.2633718e-01 -6.8605242e-04 
 3.9810717e+01  7.2633681e-01 -8.6368837e-04 
 5.0118723e+01  7.2633621e-01 -1.0873183e-03 
 6.3095734e+01  7.2633526e-01 -1.3688509e-03 
 7.9432823e+01  7.2633375e-01 -1.7232776e-03 
 1.0000000e+02  7.2633136e-01 -2.1694709e-03 
 1.2589254e+02  7.2632757e-01 -2.7311878e-03 
 1.5848932e+02  7.2632158e-01 -3.4383333e-03 
 1.9952623e+02  7.2631207e-01 -4.3285486e-03 
 2.5118864e+02  7.2629700e-01 -5.4492069e-03 
 3.1622777e+02  7.2627312e-01 -6.8599198e-03 
 3.9810717e+02  7.2623527e-01 -8.6356779e-03 
 5.0118723e+02  7.2617530e-01 -1.0870778e-02 
 6.3095734e+02  7.2608027e-01 -1.3683710e-02 
 7.9432823e+02  7.2592971e-01 -1.7223202e-02 
 1.0000000e+03  7.2569122e-01 -2.1675612e-02 
 1.2589254e+03  7.2531355e-01 -2.7273796e-02 
 1.5848932e+03  7.2471580e-01 -3.4307412e-02 
 1.9952623e+03  7.2377043e-01 -4.3134203e-02 
 2.5118864e+03  7.2227716e-01 -5.4190849e-02 
 3.1622777e+03  7.1992305e-01 -6.8000160e-02 
 3.9810717e+03  7.1622326e-01 -8.5167738e-02 
 5.0118723e+03  7.1043668e-01 -1.0635467e-01 
 6.3095734e+03  7.0145442e-01 -1.3220191e-01 
 7.9432823e+03  6.8767406e-01 -1.6316695e-01 
 1.0000000e+04  6.6690790e-01 -1.9922015e-01 
 1.2589254e+04  6.3644440e-01 -2.3936253e-01 
 1.5848932e+04  5.9347226e-01 -2.8102243e-01 
 1.9952623e+04  5.3608978e-01 -3.1963122e-01 
 2.5118864e+04  4.6482841e-01 -3.4899326e-01 
 3.1622777e+04  3.8389641e-01 -3.6300878e-01 
 3.9810717e+04  3.0080265e-01 -3.5831758e-01 
 5.0118723e+04  2.2387425e-01 -3.3607801e-01 
 6.3095734e+04  1.5918176e-01 -3.0133018e-01 
 7.9432823e+04  1.0903440e-01 -2.6052292e-01 
 1.0000000e+05  7.2561099e-02 -2.1917354e-01 
 1.2589254e+05  4.7244437e-02 -1.8084489e-01 
 1.5848932e+05  3.0236536e-02 -1.4725763e-01 
 1.9952623e+05  1.9059809e-02 -1.1886143e-01 
 2.5118864e+05  1.1821073e-02 -9.5397089e-02 
 3.1622777e+05  7.1767848e-03 -7.6289156e-02 
 3.9810717e+05  4.2148924e-03 -6.0873501e-02 
 5.0118723e+05  2.3329187e-03 -4.8511466e-02 
