 frequency      v(net6)        v(net6)       
 1.0000000e+00  3.2369132e+02 -9.6818757e-03 
 1.2589254e+00  3.2369132e+02 -1.2188759e-02 
 1.5848932e+00  3.2369132e+02 -1.5344739e-02 
 1.9952623e+00  3.2369132e+02 -1.9317882e-02 
 2.5118864e+00  3.2369132e+02 -2.4319772e-02 
 3.1622777e+00  3.2369132e+02 -3.0616779e-02 
 3.9810717e+00  3.2369132e+02 -3.8544241e-02 
 5.0118723e+00  3.2369131e+02 -4.8524324e-02 
 6.3095734e+00  3.2369131e+02 -6.1088504e-02 
 7.9432823e+00  3.2369130e+02 -7.6905868e-02 
 1.0000000e+01  3.2369129e+02 -9.6818749e-02 
 1.2589254e+01  3.2369127e+02 -1.2188758e-01 
 1.5848932e+01  3.2369125e+02 -1.5344735e-01 
 1.9952623e+01  3.2369121e+02 -1.9317875e-01 
 2.5118864e+01  3.2369114e+02 -2.4319759e-01 
 3.1622777e+01  3.2369103e+02 -3.0616752e-01 
 3.9810717e+01  3.2369086e+02 -3.8544187e-01 
 5.0118723e+01  3.2369059e+02 -4.8524217e-01 
 6.3095734e+01  3.2369017e+02 -6.1088290e-01 
 7.9432823e+01  3.2368950e+02 -7.6905441e-01 
 1.0000000e+02  3.2368843e+02 -9.6817896e-01 
 1.2589254e+02  3.2368674e+02 -1.2188587e+00 
 1.5848932e+02  3.2368407e+02 -1.5344396e+00 
 1.9952623e+02  3.2367982e+02 -1.9317197e+00 
 2.5118864e+02  3.2367310e+02 -2.4318407e+00 
 3.1622777e+02  3.2366244e+02 -3.0614055e+00 
 3.9810717e+02  3.2364555e+02 -3.8538806e+00 
 5.0118723e+02  3.2361879e+02 -4.8513480e+00 
 6.3095734e+02  3.2357638e+02 -6.1066871e+00 
 7.9432823e+02  3.2350919e+02 -7.6862714e+00 
 1.0000000e+03  3.2340275e+02 -9.6732672e+00 
 1.2589254e+03  3.2323421e+02 -1.2171592e+01 
 1.5848932e+03  3.2296744e+02 -1.5310514e+01 
 1.9952623e+03  3.2254554e+02 -1.9249683e+01 
 2.5118864e+03  3.2187912e+02 -2.4183978e+01 
 3.1622777e+03  3.2082853e+02 -3.0346716e+01 
 3.9810717e+03  3.1917739e+02 -3.8008160e+01 
 5.0118723e+03  3.1659495e+02 -4.7463334e+01 
 6.3095734e+03  3.1258635e+02 -5.8998281e+01 
 7.9432823e+03  3.0643645e+02 -7.2817152e+01 
 1.0000000e+04  2.9716893e+02 -8.8906718e+01 
 1.2589254e+04  2.8357368e+02 -1.0682114e+02 
 1.5848932e+04  2.6439607e+02 -1.2541270e+02 
 1.9952623e+04  2.3878741e+02 -1.4264252e+02 
 2.5118864e+04  2.0698488e+02 -1.5574556e+02 
 3.1622777e+04  1.7086655e+02 -1.6199958e+02 
 3.9810717e+04  1.3378346e+02 -1.5990496e+02 
 5.0118723e+04  9.9451856e+01 -1.4997858e+02 
 6.3095734e+04  7.0580899e+01 -1.3446968e+02 
 7.9432823e+04  4.8201151e+01 -1.1625614e+02 
 1.0000000e+05  3.1923869e+01 -9.7800136e+01 
 1.2589254e+05  2.0625590e+01 -8.0691551e+01 
 1.5848932e+05  1.3035370e+01 -6.5698109e+01 
 1.9952623e+05  8.0475267e+00 -5.3020260e+01 
 2.5118864e+05  4.8171925e+00 -4.2542065e+01 
 3.1622777e+05  2.7448075e+00 -3.4006358e+01 
 3.9810717e+05  1.4233992e+00 -2.7116318e+01 
 5.0118723e+05  5.8418543e-01 -2.1586381e+01 
 6.3095734e+05  5.2665898e-02 -1.7163580e+01 
 7.9432823e+05 -2.8321857e-01 -1.3633445e+01 
 1.0000000e+06 -4.9490087e-01 -1.0818624e+01 
 1.2589254e+06 -6.2764902e-01 -8.5746047e+00 
 1.5848932e+06 -7.0995523e-01 -6.7846393e+00 
 1.9952623e+06 -7.5953964e-01 -5.3548876e+00 
 2.5118864e+06 -7.8713306e-01 -4.2101449e+00 
 3.1622777e+06 -7.9881555e-01 -3.2902859e+00 
 3.9810717e+06 -7.9742947e-01 -2.5474372e+00 
 5.0118723e+06 -7.8343961e-01 -1.9438616e+00 
 6.3095734e+06 -7.5556778e-01 -1.4505219e+00 
 7.9432823e+06 -7.1156065e-01 -1.0462148e+00 
 1.0000000e+07 -6.4945900e-01 -7.1693061e-01 
 1.2589254e+07 -5.6947254e-01 -4.5472296e-01 
 1.5848932e+07 -4.7578668e-01 -2.5526873e-01 
 1.9952623e+07 -3.7677893e-01 -1.1419864e-01 
 2.5118864e+07 -2.8263252e-01 -2.3984530e-02 
 3.1622777e+07 -2.0159903e-01  2.6453176e-02 
 3.9810717e+07 -1.3759969e-01  4.9445748e-02 
