 frequency      v(net6)        v(net6)       
 1.0000000e+00 -3.9158727e-01 -1.6003528e-05 
 1.2589254e+00 -3.9158727e-01 -2.0147248e-05 
 1.5848932e+00 -3.9158727e-01 -2.5363883e-05 
 1.9952623e+00 -3.9158727e-01 -3.1931236e-05 
 2.5118864e+00 -3.9158727e-01 -4.0199045e-05 
 3.1622777e+00 -3.9158727e-01 -5.0607599e-05 
 3.9810717e+00 -3.9158728e-01 -6.3711192e-05 
 5.0118723e+00 -3.9158728e-01 -8.0207638e-05 
 6.3095734e+00 -3.9158729e-01 -1.0097543e-04 
 7.9432823e+00 -3.9158730e-01 -1.2712054e-04 
 1.0000000e+01 -3.9158732e-01 -1.6003527e-04 
 1.2589254e+01 -3.9158734e-01 -2.0147245e-04 
 1.5848932e+01 -3.9158739e-01 -2.5363877e-04 
 1.9952623e+01 -3.9158746e-01 -3.1931225e-04 
 2.5118864e+01 -3.9158757e-01 -4.0199023e-04 
 3.1622777e+01 -3.9158775e-01 -5.0607554e-04 
 3.9810717e+01 -3.9158803e-01 -6.3711103e-04 
 5.0118723e+01 -3.9158847e-01 -8.0207460e-04 
 6.3095734e+01 -3.9158917e-01 -1.0097508e-03 
 7.9432823e+01 -3.9159029e-01 -1.2711983e-03 
 1.0000000e+02 -3.9159206e-01 -1.6003385e-03 
 1.2589254e+02 -3.9159486e-01 -2.0146963e-03 
 1.5848932e+02 -3.9159930e-01 -2.5363314e-03 
 1.9952623e+02 -3.9160633e-01 -3.1930102e-03 
 2.5118864e+02 -3.9161748e-01 -4.0196781e-03 
 3.1622777e+02 -3.9163515e-01 -5.0603082e-03 
 3.9810717e+02 -3.9166316e-01 -6.3702180e-03 
 5.0118723e+02 -3.9170754e-01 -8.0189658e-03 
 6.3095734e+02 -3.9177786e-01 -1.0093956e-02 
 7.9432823e+02 -3.9188927e-01 -1.2704898e-02 
 1.0000000e+03 -3.9206575e-01 -1.5989254e-02 
 1.2589254e+03 -3.9234522e-01 -2.0118783e-02 
 1.5848932e+03 -3.9278755e-01 -2.5307133e-02 
 1.9952623e+03 -3.9348711e-01 -3.1818154e-02 
 2.5118864e+03 -3.9459211e-01 -3.9973881e-02 
 3.1622777e+03 -3.9633412e-01 -5.0159800e-02 
 3.9810717e+03 -3.9907190e-01 -6.2822301e-02 
 5.0118723e+03 -4.0335389e-01 -7.8448379e-02 
 6.3095734e+03 -4.1000063e-01 -9.7509573e-02 
 7.9432823e+03 -4.2019789e-01 -1.2034092e-01 
 1.0000000e+04 -4.3556453e-01 -1.4691610e-01 
 1.2589254e+04 -4.5810705e-01 -1.7649035e-01 
 1.5848932e+04 -4.8990574e-01 -2.0715370e-01 
 1.9952623e+04 -5.3236778e-01 -2.3551666e-01 
 2.5118864e+04 -5.8509982e-01 -2.5698348e-01 
 3.1622777e+04 -6.4498764e-01 -2.6702651e-01 
 3.9810717e+04 -7.0647452e-01 -2.6314173e-01 
 5.0118723e+04 -7.6339813e-01 -2.4616433e-01 
 6.3095734e+04 -8.1126575e-01 -2.1979622e-01 
 7.9432823e+04 -8.4836767e-01 -1.8877458e-01 
 1.0000000e+05 -8.7534707e-01 -1.5713828e-01 
 1.2589254e+05 -8.9406454e-01 -1.2746855e-01 
 1.5848932e+05 -9.0662388e-01 -1.0096912e-01 
 1.9952623e+05 -9.1485283e-01 -7.7885268e-02 
 2.5118864e+05 -9.2014330e-01 -5.7915193e-02 
 3.1622777e+05 -9.2347526e-01 -4.0494803e-02 
 3.9810717e+05 -9.2550103e-01 -2.4959054e-02 
 5.0118723e+05 -9.2663072e-01 -1.0617725e-02 
 6.3095734e+05 -9.2709736e-01  3.2196478e-03 
 7.9432823e+05 -9.2699787e-01  1.7246249e-02 
 1.0000000e+06 -9.2631046e-01  3.2173922e-02 
 1.2589254e+06 -9.2488976e-01  4.8753997e-02 
 1.5848932e+06 -9.2243807e-01  6.7796194e-02 
 1.9952623e+06 -9.1844905e-01  9.0176877e-02 
 2.5118864e+06 -9.1211838e-01  1.1682193e-01 
 3.1622777e+06 -9.0221845e-01  1.4863801e-01 
 3.9810717e+06 -8.8694720e-01  1.8634839e-01 
 5.0118723e+06 -8.6379727e-01  2.3017169e-01 
 6.3095734e+06 -8.2956685e-01  2.7928599e-01 
 7.9432823e+06 -7.8074466e-01  3.3110612e-01 
 1.0000000e+07 -7.1456123e-01  3.8065322e-01 
 1.2589254e+07 -6.3075873e-01  4.2069088e-01 
 1.5848932e+07 -5.3335031e-01  4.4342088e-01 
 1.9952623e+07 -4.3077854e-01  4.4361269e-01 
 2.5118864e+07 -3.3341565e-01  4.2129320e-01 
 3.1622777e+07 -2.4968671e-01  3.8173978e-01 
 3.9810717e+07 -1.8358150e-01  3.3278377e-01 
 5.0118723e+07 -1.3482409e-01  2.8168611e-01 
 6.3095734e+07 -1.0063529e-01  2.3345156e-01 
 7.9432823e+07 -7.7499564e-02  1.9070006e-01 
 1.0000000e+08 -6.2211943e-02  1.5430094e-01 
 1.2589254e+08 -5.2259725e-02  1.2409730e-01 
 1.5848932e+08 -4.5831178e-02  9.9443436e-02 
 1.9952623e+08 -4.1683421e-02  7.9528160e-02 
 2.5118864e+08 -3.8990446e-02  6.3542493e-02 
 3.1622777e+08 -3.7216689e-02  5.0754512e-02 
 3.9810717e+08 -3.6024074e-02  4.0536316e-02 
 5.0118723e+08 -3.5205745e-02  3.2368721e-02 
 6.3095734e+08 -3.4637695e-02  2.5834757e-02 
 7.9432823e+08 -3.4243839e-02  2.0605627e-02 
 1.0000000e+09 -3.3973734e-02  1.6422712e-02 
 1.2589254e+09 -3.3791136e-02  1.3080536e-02 
 1.5848932e+09 -3.3669247e-02  1.0413869e-02 
 1.9952623e+09 -3.3588630e-02  8.2890532e-03 
 2.5118864e+09 -3.3535668e-02  6.5980544e-03 
 3.1622777e+09 -3.3501083e-02  5.2539058e-03 
 3.9810717e+09 -3.3478638e-02  4.1869009e-03 
 5.0118723e+09 -3.3464160e-02  3.3413546e-03 
 6.3095734e+09 -3.3454863e-02  2.6729127e-03 
 7.9432823e+09 -3.3448905e-02  2.1463639e-03 
 1.0000000e+10 -3.3445072e-02  1.7338801e-03 
