 frequency      v(net6)        v(net6)       
 1.0000000e+00  6.1996047e-01 -2.3278782e-05 
 1.2589254e+00  6.1996047e-01 -2.9306250e-05 
 1.5848932e+00  6.1996047e-01 -3.6894383e-05 
 1.9952623e+00  6.1996047e-01 -4.6447276e-05 
 2.5118864e+00  6.1996047e-01 -5.8473656e-05 
 3.1622777e+00  6.1996046e-01 -7.3613971e-05 
 3.9810717e+00  6.1996046e-01 -9.2674498e-05 
 5.0118723e+00  6.1996045e-01 -1.1667028e-04 
 6.3095734e+00  6.1996044e-01 -1.4687918e-04 
 7.9432823e+00  6.1996042e-01 -1.8490992e-04 
 1.0000000e+01  6.1996038e-01 -2.3278779e-04 
 1.2589254e+01  6.1996033e-01 -2.9306244e-04 
 1.5848932e+01  6.1996025e-01 -3.6894370e-04 
 1.9952623e+01  6.1996012e-01 -4.6447250e-04 
 2.5118864e+01  6.1995992e-01 -5.8473604e-04 
 3.1622777e+01  6.1995960e-01 -7.3613868e-04 
 3.9810717e+01  6.1995909e-01 -9.2674293e-04 
 5.0118723e+01  6.1995828e-01 -1.1666987e-03 
 6.3095734e+01  6.1995699e-01 -1.4687836e-03 
 7.9432823e+01  6.1995496e-01 -1.8490829e-03 
 1.0000000e+02  6.1995174e-01 -2.3278454e-03 
 1.2589254e+02  6.1994663e-01 -2.9305596e-03 
 1.5848932e+02  6.1993853e-01 -3.6893078e-03 
 1.9952623e+02  6.1992570e-01 -4.6444672e-03 
 2.5118864e+02  6.1990536e-01 -5.8468461e-03 
 3.1622777e+02  6.1987312e-01 -7.3603606e-03 
 3.9810717e+02  6.1982205e-01 -9.2653819e-03 
 5.0118723e+02  6.1974111e-01 -1.1662902e-02 
 6.3095734e+02  6.1961288e-01 -1.4679688e-02 
 7.9432823e+02  6.1940975e-01 -1.8474577e-02 
 1.0000000e+03  6.1908809e-01 -2.3246043e-02 
 1.2589254e+03  6.1857898e-01 -2.9240981e-02 
 1.5848932e+03  6.1777380e-01 -3.6764324e-02 
 1.9952623e+03  6.1650196e-01 -4.6188308e-02 
 2.5118864e+03  6.1449692e-01 -5.7958626e-02 
 3.1622777e+03  6.1134571e-01 -7.2591617e-02 
 3.9810717e+03  6.0641701e-01 -9.0651070e-02 
 5.0118723e+03  5.9876620e-01 -1.1268392e-01 
 6.3095734e+03  5.8702796e-01 -1.3908118e-01 
 7.9432823e+03  5.6933793e-01 -1.6981948e-01 
 1.0000000e+04  5.4338437e-01 -2.0405013e-01 
 1.2589254e+04  5.0676860e-01 -2.3958467e-01 
 1.5848932e+04  4.5786420e-01 -2.7253172e-01 
 1.9952623e+04  3.9711577e-01 -2.9760945e-01 
 2.5118864e+04  3.2810231e-01 -3.0961135e-01 
 3.1622777e+04  2.5722210e-01 -3.0566064e-01 
 3.9810717e+04  1.9157994e-01 -2.8673276e-01 
 5.0118723e+04  1.3636284e-01 -2.5711904e-01 
 6.3095734e+04  9.3550604e-02 -2.2231974e-01 
 7.9432823e+04  6.2406891e-02 -1.8704532e-01 
 1.0000000e+05  4.0786914e-02 -1.5434012e-01 
 1.2589254e+05  2.6261268e-02 -1.2567597e-01 
 1.5848932e+05  1.6715266e-02 -1.0143888e-01 
 1.9952623e+05  1.0532544e-02 -8.1408969e-02 
 2.5118864e+05  6.5658237e-03 -6.5095684e-02 
 3.1622777e+05  4.0362289e-03 -5.1932381e-02 
 3.9810717e+05  2.4292648e-03 -4.1373879e-02 
 5.0118723e+05  1.4108033e-03 -3.2937424e-02 
 6.3095734e+05  7.6612732e-04 -2.6214056e-02 
 7.9432823e+05  3.5813329e-04 -2.0866079e-02 
 1.0000000e+06  9.9575292e-05 -1.6618927e-02 
 1.2589254e+06 -6.5027879e-05 -1.3251547e-02 
 1.5848932e+06 -1.7107104e-04 -1.0587142e-02 
 1.9952623e+06 -2.4138034e-04 -8.4850086e-03 
 2.5118864e+06 -2.9108297e-04 -6.8336263e-03 
 3.1622777e+06 -3.3082832e-04 -5.5449376e-03 
 3.9810717e+06 -3.6901711e-04 -4.5496122e-03 
 5.0118723e+06 -4.1346157e-04 -3.7930476e-03 
 6.3095734e+06 -4.7271435e-04 -3.2317909e-03 
 7.9432823e+06 -5.5709754e-04 -2.8300176e-03 
 1.0000000e+07 -6.7915319e-04 -2.5557004e-03 
 1.2589254e+07 -8.5278920e-04 -2.3763484e-03 
 1.5848932e+07 -1.0900215e-03 -2.2549941e-03 
 1.9952623e+07 -1.3947108e-03 -2.1485913e-03 
 2.5118864e+07 -1.7551727e-03 -2.0120006e-03 
 3.1622777e+07 -2.1412229e-03 -1.8084167e-03 
 3.9810717e+07 -2.5110500e-03 -1.5206066e-03 
 5.0118723e+07 -2.8254647e-03 -1.1535807e-03 
 6.3095734e+07 -3.0591867e-03 -7.2595075e-04 
 7.9432823e+07 -3.2018978e-03 -2.5747169e-04 
 1.0000000e+08 -3.2514057e-03  2.3848199e-04 
 1.2589254e+08 -3.2055564e-03  7.5513375e-04 
 1.5848932e+08 -3.0572670e-03  1.2876679e-03 
 1.9952623e+08 -2.7939323e-03  1.8268860e-03 
 2.5118864e+08 -2.4010246e-03  2.3535957e-03 
 3.1622777e+08 -1.8690257e-03  2.8357269e-03 
 3.9810717e+08 -1.2022172e-03  3.2297980e-03 
 5.0118723e+08 -4.2720081e-04  3.4882439e-03 
 6.3095734e+08  4.0324041e-04  3.5737164e-03 
 7.9432823e+08  1.2179712e-03  3.4764827e-03 
 1.0000000e+09  1.9483881e-03  3.2229533e-03 
 1.2589254e+09  2.5502351e-03  2.8662259e-03 
 1.5848932e+09  3.0115652e-03  2.4652845e-03 
 1.9952623e+09  3.3454309e-03  2.0677031e-03 
 2.5118864e+09  3.5768417e-03  1.7031964e-03 
 3.1622777e+09  3.7323402e-03  1.3855689e-03 
 3.9810717e+09  3.8346042e-03  1.1178063e-03 
 5.0118723e+09  3.9008887e-03  8.9688372e-04 
 6.3095734e+09  3.9434419e-03  7.1712576e-04 
 7.9432823e+09  3.9705901e-03  5.7217091e-04 
 1.0000000e+10  3.9878410e-03  4.5596290e-04 
