 frequency      v(net6)        v(net6)       
 1.0000000e+00  3.5701170e+02 -1.3416939e-02 
 1.2589254e+00  3.5701170e+02 -1.6890925e-02 
 1.5848932e+00  3.5701170e+02 -2.1264415e-02 
 1.9952623e+00  3.5701170e+02 -2.6770312e-02 
 2.5118864e+00  3.5701170e+02 -3.3701826e-02 
 3.1622777e+00  3.5701170e+02 -4.2428085e-02 
 3.9810717e+00  3.5701169e+02 -5.3413794e-02 
 5.0118723e+00  3.5701169e+02 -6.7243981e-02 
 6.3095734e+00  3.5701168e+02 -8.4655155e-02 
 7.9432823e+00  3.5701167e+02 -1.0657452e-01 
 1.0000000e+01  3.5701165e+02 -1.3416937e-01 
 1.2589254e+01  3.5701162e+02 -1.6890921e-01 
 1.5848932e+01  3.5701157e+02 -2.1264407e-01 
 1.9952623e+01  3.5701150e+02 -2.6770297e-01 
 2.5118864e+01  3.5701138e+02 -3.3701796e-01 
 3.1622777e+01  3.5701120e+02 -4.2428026e-01 
 3.9810717e+01  3.5701090e+02 -5.3413676e-01 
 5.0118723e+01  3.5701044e+02 -6.7243746e-01 
 6.3095734e+01  3.5700970e+02 -8.4654685e-01 
 7.9432823e+01  3.5700852e+02 -1.0657359e+00 
 1.0000000e+02  3.5700667e+02 -1.3416750e+00 
 1.2589254e+02  3.5700372e+02 -1.6890548e+00 
 1.5848932e+02  3.5699905e+02 -2.1263663e+00 
 1.9952623e+02  3.5699166e+02 -2.6768811e+00 
 2.5118864e+02  3.5697993e+02 -3.3698832e+00 
 3.1622777e+02  3.5696136e+02 -4.2422111e+00 
 3.9810717e+02  3.5693192e+02 -5.3401875e+00 
 5.0118723e+02  3.5688527e+02 -6.7220203e+00 
 6.3095734e+02  3.5681136e+02 -8.4607722e+00 
 7.9432823e+02  3.5669429e+02 -1.0647991e+01 
 1.0000000e+03  3.5650889e+02 -1.3398069e+01 
 1.2589254e+03  3.5621546e+02 -1.6853306e+01 
 1.5848932e+03  3.5575139e+02 -2.1189453e+01 
 1.9952623e+03  3.5501835e+02 -2.6621052e+01 
 2.5118864e+03  3.5386272e+02 -3.3404982e+01 
 3.1622777e+03  3.5204648e+02 -4.1838839e+01 
 3.9810717e+03  3.4920576e+02 -5.2247566e+01 
 5.0118723e+03  3.4479612e+02 -6.4946393e+01 
 6.3095734e+03  3.3803064e+02 -8.0160684e+01 
 7.9432823e+03  3.2783477e+02 -9.7876957e+01 
 1.0000000e+04  3.1287611e+02 -1.1760606e+02 
 1.2589254e+04  2.9177216e+02 -1.3808664e+02 
 1.5848932e+04  2.6358550e+02 -1.5707583e+02 
 1.9952623e+04  2.2857240e+02 -1.7152938e+02 
 2.5118864e+04  1.8879563e+02 -1.7844643e+02 
 3.1622777e+04  1.4794294e+02 -1.7616890e+02 
 3.9810717e+04  1.1010927e+02 -1.6525896e+02 
 5.0118723e+04  7.8284212e+01 -1.4818994e+02 
