 frequency      v(net6)        v(net6)       
 1.0000000e+00 -4.6134607e-01 -1.8404450e-05 
 1.2589254e+00 -4.6134607e-01 -2.3169830e-05 
 1.5848932e+00 -4.6134607e-01 -2.9169088e-05 
 1.9952623e+00 -4.6134607e-01 -3.6721706e-05 
 2.5118864e+00 -4.6134607e-01 -4.6229889e-05 
 3.1622777e+00 -4.6134608e-01 -5.8199982e-05 
 3.9810717e+00 -4.6134608e-01 -7.3269435e-05 
 5.0118723e+00 -4.6134609e-01 -9.2240753e-05 
 6.3095734e+00 -4.6134610e-01 -1.1612423e-04 
 7.9432823e+00 -4.6134611e-01 -1.4619173e-04 
 1.0000000e+01 -4.6134614e-01 -1.8404448e-04 
 1.2589254e+01 -4.6134618e-01 -2.3169825e-04 
 1.5848932e+01 -4.6134624e-01 -2.9169078e-04 
 1.9952623e+01 -4.6134634e-01 -3.6721686e-04 
 2.5118864e+01 -4.6134651e-01 -4.6229848e-04 
 3.1622777e+01 -4.6134676e-01 -5.8199900e-04 
 3.9810717e+01 -4.6134717e-01 -7.3269273e-04 
 5.0118723e+01 -4.6134781e-01 -9.2240429e-04 
 6.3095734e+01 -4.6134882e-01 -1.1612358e-03 
 7.9432823e+01 -4.6135043e-01 -1.4619045e-03 
 1.0000000e+02 -4.6135299e-01 -1.8404191e-03 
 1.2589254e+02 -4.6135703e-01 -2.3169312e-03 
 1.5848932e+02 -4.6136345e-01 -2.9168055e-03 
 1.9952623e+02 -4.6137361e-01 -3.6719644e-03 
 2.5118864e+02 -4.6138972e-01 -4.6225775e-03 
 3.1622777e+02 -4.6141524e-01 -5.8191774e-03 
 3.9810717e+02 -4.6145569e-01 -7.3253060e-03 
 5.0118723e+02 -4.6151978e-01 -9.2208083e-03 
 6.3095734e+02 -4.6162133e-01 -1.1605905e-02 
 7.9432823e+02 -4.6178218e-01 -1.4606174e-02 
 1.0000000e+03 -4.6203690e-01 -1.8378525e-02 
 1.2589254e+03 -4.6244006e-01 -2.3118144e-02 
 1.5848932e+03 -4.6307767e-01 -2.9066095e-02 
 1.9952623e+03 -4.6408483e-01 -3.6516631e-02 
 2.5118864e+03 -4.6567261e-01 -4.5822040e-02 
 3.1622777e+03 -4.6816802e-01 -5.7390387e-02 
 3.9810717e+03 -4.7207102e-01 -7.1667098e-02 
 5.0118723e+03 -4.7812963e-01 -8.9083983e-02 
 6.3095734e+03 -4.8742504e-01 -1.0994905e-01 
 7.9432823e+03 -5.0143362e-01 -1.3424172e-01 
