 frequency      v(net6)        v(net6)       
 1.0000000e+00  5.8499442e-01 -1.5725652e-05 
 1.2589254e+00  5.8499442e-01 -1.9797422e-05 
 1.5848932e+00  5.8499442e-01 -2.4923478e-05 
 1.9952623e+00  5.8499442e-01 -3.1376800e-05 
 2.5118864e+00  5.8499442e-01 -3.9501051e-05 
 3.1622777e+00  5.8499442e-01 -4.9728876e-05 
 3.9810717e+00  5.8499441e-01 -6.2604946e-05 
 5.0118723e+00  5.8499441e-01 -7.8814956e-05 
 6.3095734e+00  5.8499440e-01 -9.9222150e-05 
 7.9432823e+00  5.8499439e-01 -1.2491328e-04 
 1.0000000e+01  5.8499438e-01 -1.5725650e-04 
 1.2589254e+01  5.8499435e-01 -1.9797420e-04 
 1.5848932e+01  5.8499431e-01 -2.4923474e-04 
 1.9952623e+01  5.8499425e-01 -3.1376791e-04 
 2.5118864e+01  5.8499415e-01 -3.9501033e-04 
 3.1622777e+01  5.8499400e-01 -4.9728841e-04 
 3.9810717e+01  5.8499375e-01 -6.2604875e-04 
 5.0118723e+01  5.8499336e-01 -7.8814815e-04 
 6.3095734e+01  5.8499274e-01 -9.9221869e-04 
 7.9432823e+01  5.8499176e-01 -1.2491272e-03 
 1.0000000e+02  5.8499020e-01 -1.5725538e-03 
 1.2589254e+02  5.8498773e-01 -1.9797196e-03 
 1.5848932e+02  5.8498381e-01 -2.4923027e-03 
 1.9952623e+02  5.8497761e-01 -3.1375899e-03 
 2.5118864e+02  5.8496778e-01 -3.9499254e-03 
 3.1622777e+02  5.8495220e-01 -4.9725292e-03 
 3.9810717e+02  5.8492751e-01 -6.2597794e-03 
 5.0118723e+02  5.8488838e-01 -7.8800689e-03 
 6.3095734e+02  5.8482638e-01 -9.9193685e-03 
 7.9432823e+02  5.8472813e-01 -1.2485650e-02 
 1.0000000e+03  5.8457250e-01 -1.5714323e-02 
 1.2589254e+03  5.8432600e-01 -1.9774829e-02 
 1.5848932e+03  5.8393575e-01 -2.4878428e-02 
 1.9952623e+03  5.8331832e-01 -3.1287008e-02 
 2.5118864e+03  5.8234241e-01 -3.9322191e-02 
 3.1622777e+03  5.8080238e-01 -4.9372947e-02 
 3.9810717e+03  5.7837818e-01 -6.1897734e-02 
 5.0118723e+03  5.7457721e-01 -7.7413146e-02 
 6.3095734e+03  5.6865424e-01 -9.6453968e-02 
 7.9432823e+03  5.5951279e-01 -1.1947871e-01 
 1.0000000e+04  5.4561094e-01 -1.4668220e-01 
 1.2589254e+04  5.2493783e-01 -1.7767408e-01 
 1.5848932e+04  4.9519674e-01 -2.1102245e-01 
 1.9952623e+04  4.5438696e-01 -2.4379888e-01 
 2.5118864e+04  4.0187918e-01 -2.7151166e-01 
 3.1622777e+04  3.3964276e-01 -2.8897047e-01 
 3.9810717e+04  2.7266451e-01 -2.9219900e-01 
 5.0118723e+04  2.0767308e-01 -2.8039976e-01 
 6.3095734e+04  1.5064605e-01 -2.5639304e-01 
 7.9432823e+04  1.0486011e-01 -2.2513010e-01 
 1.0000000e+05  7.0650542e-02 -1.9157059e-01 
 1.2589254e+05  4.6439413e-02 -1.5933543e-01 
 1.5848932e+05  2.9954526e-02 -1.3044205e-01 
 1.9952623e+05  1.9023758e-02 -1.0565863e-01 
 2.5118864e+05  1.1902564e-02 -8.4989108e-02 
 3.1622777e+05  7.3163951e-03 -6.8056435e-02 
 3.9810717e+05  4.3846693e-03 -5.4342284e-02 
 5.0118723e+05  2.5193719e-03 -4.3315378e-02 
 6.3095734e+05  1.3360416e-03 -3.4490514e-02 
 7.9432823e+05  5.8657167e-04 -2.7449590e-02 
 1.0000000e+06  1.1212294e-04 -2.1843865e-02 
 1.2589254e+06 -1.8853972e-04 -1.7388012e-02 
 1.5848932e+06 -3.7984228e-04 -1.3851347e-02 
 1.9952623e+06 -5.0288128e-04 -1.1048784e-02 
 2.5118864e+06 -5.8411699e-04 -8.8325886e-03 
