 frequency      v(net6)        v(net6)       
 1.0000000e+00  3.6501008e+02 -9.8211961e-03 
 1.2589254e+00  3.6501008e+02 -1.2364153e-02 
 1.5848932e+00  3.6501008e+02 -1.5565547e-02 
 1.9952623e+00  3.6501008e+02 -1.9595862e-02 
 2.5118864e+00  3.6501008e+02 -2.4669729e-02 
 3.1622777e+00  3.6501008e+02 -3.1057349e-02 
 3.9810717e+00  3.6501007e+02 -3.9098886e-02 
 5.0118723e+00  3.6501007e+02 -4.9222580e-02 
 6.3095734e+00  3.6501007e+02 -6.1967556e-02 
 7.9432823e+00  3.6501006e+02 -7.8012530e-02 
 1.0000000e+01  3.6501005e+02 -9.8211954e-02 
 1.2589254e+01  3.6501004e+02 -1.2364152e-01 
 1.5848932e+01  3.6501001e+02 -1.5565544e-01 
 1.9952623e+01  3.6500997e+02 -1.9595857e-01 
 2.5118864e+01  3.6500991e+02 -2.4669718e-01 
 3.1622777e+01  3.6500981e+02 -3.1057327e-01 
 3.9810717e+01  3.6500966e+02 -3.9098841e-01 
 5.0118723e+01  3.6500942e+02 -4.9222492e-01 
 6.3095734e+01  3.6500903e+02 -6.1967380e-01 
 7.9432823e+01  3.6500841e+02 -7.8012179e-01 
 1.0000000e+02  3.6500744e+02 -9.8211253e-01 
 1.2589254e+02  3.6500590e+02 -1.2364012e+00 
 1.5848932e+02  3.6500345e+02 -1.5565265e+00 
 1.9952623e+02  3.6499958e+02 -1.9595300e+00 
 2.5118864e+02  3.6499344e+02 -2.4668607e+00 
 3.1622777e+02  3.6498371e+02 -3.1055110e+00 
 3.9810717e+02  3.6496829e+02 -3.9094419e+00 
 5.0118723e+02  3.6494385e+02 -4.9213669e+00 
 6.3095734e+02  3.6490513e+02 -6.1949779e+00 
 7.9432823e+02  3.6484377e+02 -7.7977065e+00 
 1.0000000e+03  3.6474657e+02 -9.8141211e+00 
 1.2589254e+03  3.6459262e+02 -1.2350043e+01 
 1.5848932e+03  3.6434890e+02 -1.5537411e+01 
 1.9952623e+03  3.6396329e+02 -1.9539784e+01 
 2.5118864e+03  3.6335380e+02 -2.4558025e+01 
 3.1622777e+03  3.6239199e+02 -3.0835058e+01 
 3.9810717e+03  3.6087798e+02 -3.8657205e+01 
 5.0118723e+03  3.5850414e+02 -4.8347096e+01 
 6.3095734e+03  3.5480502e+02 -6.0238722e+01 
 7.9432823e+03  3.4909584e+02 -7.4618436e+01 
 1.0000000e+04  3.4041361e+02 -9.1607899e+01 
 1.2589254e+04  3.2750247e+02 -1.1096333e+02 
 1.5848932e+04  3.0892804e+02 -1.3179043e+02 
 1.9952623e+04  2.8344079e+02 -1.5226027e+02 
 2.5118864e+04  2.5064770e+02 -1.6956760e+02 
 3.1622777e+04  2.1177870e+02 -1.8047085e+02 
 3.9810717e+04  1.6994826e+02 -1.8248664e+02 
 5.0118723e+04  1.2935866e+02 -1.7511688e+02 
 6.3095734e+04  9.3743134e+01 -1.6012291e+02 
 7.9432823e+04  6.5148091e+01 -1.4059693e+02 
 1.0000000e+05  4.3782935e+01 -1.1963637e+02 
 1.2589254e+05  2.8662187e+01 -9.9502561e+01 
 1.5848932e+05  1.8366778e+01 -8.1455373e+01 
 1.9952623e+05  1.1540140e+01 -6.5974444e+01 
 2.5118864e+05  7.0927487e+00 -5.3062086e+01 
 3.1622777e+05  4.2286131e+00 -4.2482638e+01 
 3.9810717e+05  2.3977979e+00 -3.3912152e+01 
 5.0118723e+05  1.2331000e+00 -2.7018536e+01 
 6.3095734e+05  4.9446288e-01 -2.1498397e+01 
 7.9432823e+05  2.7019914e-02 -1.7090157e+01 
 1.0000000e+06 -2.6829467e-01 -1.3575446e+01 
 1.2589254e+06 -4.5449247e-01 -1.0775357e+01 
 1.5848932e+06 -5.7147336e-01 -8.5449438e+00 
 1.9952623e+06 -6.4437487e-01 -6.7675502e+00 
 2.5118864e+06 -6.8889599e-01 -5.3496389e+00 
 3.1622777e+06 -7.1465205e-01 -4.2163615e+00 
 3.9810717e+06 -7.2725425e-01 -3.3078943e+00 
 5.0118723e+06 -7.2956418e-01 -2.5764993e+00 
 6.3095734e+06 -7.2242601e-01 -1.9842546e+00 
 7.9432823e+06 -7.0511113e-01 -1.5014145e+00 
 1.0000000e+07 -6.7571596e-01 -1.1053547e+00 
 1.2589254e+07 -6.3181011e-01 -7.7997528e-01 
 1.5848932e+07 -5.7162918e-01 -5.1519443e-01 
 1.9952623e+07 -4.9579856e-01 -3.0582835e-01 
 2.5118864e+07 -4.0879871e-01 -1.4918184e-01 
 3.1622777e+07 -3.1873259e-01 -4.1691872e-02 
 3.9810717e+07 -2.3476438e-01  2.3523708e-02 
 5.0118723e+07 -1.6375890e-01  5.6458291e-02 
 6.3095734e+07 -1.0851329e-01  6.7844427e-02 
 7.9432823e+07 -6.8283801e-02  6.6750635e-02 
 1.0000000e+08 -4.0438436e-02  5.9539542e-02 
 1.2589254e+08 -2.1925004e-02  5.0067976e-02 
 1.5848932e+08 -1.0071189e-02  4.0404994e-02 
 1.9952623e+08 -2.8325678e-03  3.1541228e-02 
 2.5118864e+08  1.2553900e-03  2.3896033e-02 
 3.1622777e+08  3.2316181e-03  1.7612479e-02 
 3.9810717e+08  3.8609888e-03  1.2689822e-02 
 5.0118723e+08  3.7268333e-03  9.0215380e-03 
 6.3095734e+08  3.2577269e-03  6.4117502e-03 
 7.9432823e+08  2.7275148e-03  4.6146777e-03 
 1.0000000e+09  2.2721587e-03  3.3903517e-03 
 1.2589254e+09  1.9314238e-03  2.5457374e-03 
 1.5848932e+09  1.6955995e-03  1.9465940e-03 
 1.9952623e+09  1.5391783e-03  1.5080588e-03 
 2.5118864e+09  1.4375915e-03  1.1785570e-03 
 3.1622777e+09  1.3722740e-03  9.2629943e-04 
 3.9810717e+09  1.3305012e-03  7.3073990e-04 
 5.0118723e+09  1.3038830e-03  5.7786945e-04 
 6.3095734e+09  1.2869691e-03  4.5770692e-04 
 7.9432823e+09  1.2762450e-03  3.6290679e-04 
 1.0000000e+10  1.2694563e-03  2.8793498e-04 
