 frequency      v(net6)        v(net6)       
 1.0000000e+00 -4.4960474e-01 -1.3291862e-05 
 1.2589254e+00 -4.4960474e-01 -1.6733463e-05 
 1.5848932e+00 -4.4960474e-01 -2.1066182e-05 
 1.9952623e+00 -4.4960474e-01 -2.6520752e-05 
 2.5118864e+00 -4.4960475e-01 -3.3387649e-05 
 3.1622777e+00 -4.4960475e-01 -4.2032559e-05 
 3.9810717e+00 -4.4960475e-01 -5.2915857e-05 
 5.0118723e+00 -4.4960475e-01 -6.6617116e-05 
 6.3095734e+00 -4.4960476e-01 -8.3865980e-05 
 7.9432823e+00 -4.4960477e-01 -1.0558101e-04 
 1.0000000e+01 -4.4960478e-01 -1.3291861e-04 
 1.2589254e+01 -4.4960480e-01 -1.6733461e-04 
 1.5848932e+01 -4.4960483e-01 -2.1066178e-04 
 1.9952623e+01 -4.4960489e-01 -2.6520745e-04 
 2.5118864e+01 -4.4960497e-01 -3.3387634e-04 
 3.1622777e+01 -4.4960510e-01 -4.2032529e-04 
 3.9810717e+01 -4.4960531e-01 -5.2915797e-04 
 5.0118723e+01 -4.4960564e-01 -6.6616997e-04 
 6.3095734e+01 -4.4960617e-01 -8.3865741e-04 
 7.9432823e+01 -4.4960700e-01 -1.0558053e-03 
 1.0000000e+02 -4.4960832e-01 -1.3291766e-03 
 1.2589254e+02 -4.4961041e-01 -1.6733272e-03 
 1.5848932e+02 -4.4961373e-01 -2.1065800e-03 
 1.9952623e+02 -4.4961899e-01 -2.6519989e-03 
 2.5118864e+02 -4.4962732e-01 -3.3386126e-03 
 3.1622777e+02 -4.4964052e-01 -4.2029522e-03 
 3.9810717e+02 -4.4966144e-01 -5.2909797e-03 
 5.0118723e+02 -4.4969460e-01 -6.6605026e-03 
 6.3095734e+02 -4.4974713e-01 -8.3841860e-03 
 7.9432823e+02 -4.4983038e-01 -1.0553289e-02 
 1.0000000e+03 -4.4996226e-01 -1.3282263e-02 
 1.2589254e+03 -4.5017113e-01 -1.6714319e-02 
 1.5848932e+03 -4.5050181e-01 -2.1028009e-02 
 1.9952623e+03 -4.5102499e-01 -2.6444666e-02 
 2.5118864e+03 -4.5185192e-01 -3.3236091e-02 
 3.1622777e+03 -4.5315687e-01 -4.1730962e-02 
 3.9810717e+03 -4.5521102e-01 -5.2316599e-02 
 5.0118723e+03 -4.5843176e-01 -6.5429288e-02 
 6.3095734e+03 -4.6345059e-01 -8.1520352e-02 
 7.9432823e+03 -4.7119660e-01 -1.0097601e-01 
 1.0000000e+04 -4.8297632e-01 -1.2395845e-01 
 1.2589254e+04 -5.0049366e-01 -1.5013325e-01 
 1.5848932e+04 -5.2569474e-01 -1.7828250e-01 
 1.9952623e+04 -5.6027484e-01 -2.0591900e-01 
 2.5118864e+04 -6.0476716e-01 -2.2922940e-01 
 3.1622777e+04 -6.5750292e-01 -2.4380652e-01 
 3.9810717e+04 -7.1425639e-01 -2.4626947e-01 
 5.0118723e+04 -7.6932592e-01 -2.3592798e-01 
 6.3095734e+04 -8.1764611e-01 -2.1515354e-01 
 7.9432823e+04 -8.5644008e-01 -1.8811860e-01 
 1.0000000e+05 -8.8542310e-01 -1.5899676e-01 
 1.2589254e+05 -9.0593125e-01 -1.3081973e-01 
 1.5848932e+05 -9.1988833e-01 -1.0525109e-01 
 1.9952623e+05 -9.2913243e-01 -8.2883969e-02 
 2.5118864e+05 -9.3513787e-01 -6.3648997e-02 
 3.1622777e+05 -9.3897846e-01 -4.7135217e-02 
 3.9810717e+05 -9.4139054e-01 -3.2788400e-02 
 5.0118723e+05 -9.4285681e-01 -2.0013834e-02 
 6.3095734e+05 -9.4367843e-01 -8.2189384e-03 
 7.9432823e+05 -9.4402666e-01  3.1779370e-03 
 1.0000000e+06 -9.4397445e-01  1.4756461e-02 
 1.2589254e+06 -9.4351025e-01  2.7112011e-02 
 1.5848932e+06 -9.4253522e-01  4.0877006e-02 
 1.9952623e+06 -9.4084312e-01  5.6742122e-02 
 2.5118864e+06 -9.3807964e-01  7.5472632e-02 
 3.1622777e+06 -9.3367547e-01  9.7911467e-02 
 3.9810717e+06 -9.2674714e-01  1.2495302e-01 
 5.0118723e+06 -9.1596318e-01  1.5745872e-01 
 6.3095734e+06 -8.9938989e-01  1.9606701e-01 
 7.9432823e+06 -8.7437332e-01  2.4083360e-01 
 1.0000000e+07 -8.3759774e-01  2.9065156e-01 
 1.2589254e+07 -7.8557347e-01  3.4251080e-01 
 1.5848932e+07 -7.1583535e-01  3.9094405e-01 
 1.9952623e+07 -6.2880217e-01  4.2840018e-01 
 2.5118864e+07 -5.2937885e-01  4.4726760e-01 
 3.1622777e+07 -4.2665190e-01  4.4312005e-01 
 3.9810717e+07 -3.3095297e-01  4.1705072e-01 
 5.0118723e+07 -2.5002256e-01  3.7507682e-01 
 6.3095734e+07 -1.8698839e-01  3.2515808e-01 
 7.9432823e+07 -1.4095450e-01  2.7423697e-01 
 1.0000000e+08 -1.0887203e-01  2.2686970e-01 
 1.2589254e+08 -8.7202905e-02  1.8530151e-01 
 1.5848932e+08 -7.2830716e-02  1.5015498e-01 
 1.9952623e+08 -6.3356007e-02  1.2112966e-01 
 2.5118864e+08 -5.7072164e-02  9.7498162e-02 
 3.1622777e+08 -5.2832043e-02  7.8401612e-02 
 3.9810717e+08 -4.9902986e-02  6.3009583e-02 
 5.0118723e+08 -4.7838480e-02  5.0599301e-02 
 6.3095734e+08 -4.6371293e-02  4.0582459e-02 
 7.9432823e+08 -4.5334117e-02  3.2495882e-02 
 1.0000000e+09 -4.4611928e-02  2.5975107e-02 
 1.2589254e+09 -4.4119450e-02  2.0728508e-02 
 1.5848932e+09 -4.3791528e-02  1.6518959e-02 
 1.9952623e+09 -4.3578314e-02  1.3151663e-02 
 2.5118864e+09 -4.3442435e-02  1.0465747e-02 
 3.1622777e+09 -4.3356998e-02  8.3284661e-03 
 3.9810717e+09 -4.3303625e-02  6.6310707e-03 
 5.0118723e+09 -4.3270321e-02  5.2853975e-03 
